"","ZIP","AGE.SEX","Death"
"1",90001,1,6.33333333333333
"2",90001,2,0.666666666666667
"3",90001,3,10.6666666666667
"4",90001,4,13.6666666666667
"5",90001,5,23.6666666666667
"6",90001,6,21
"7",90001,7,17
"8",90001,8,26
"9",90001,9,3.33333333333333
"10",90001,10,0.666666666666667
"11",90001,11,4
"12",90001,12,7.66666666666667
"13",90001,13,13.6666666666667
"14",90001,14,13
"15",90001,15,20.3333333333333
"16",90001,16,46.3333333333333
"17",90002,1,6
"18",90002,2,1
"19",90002,3,15.3333333333333
"20",90002,4,13
"21",90002,5,28.6666666666667
"22",90002,6,23.6666666666667
"23",90002,7,26
"24",90002,8,27.3333333333333
"25",90002,9,8
"26",90002,10,1
"27",90002,11,3.33333333333333
"28",90002,12,5.66666666666667
"29",90002,13,20.6666666666667
"30",90002,14,16
"31",90002,15,23.6666666666667
"32",90002,16,48
"33",90003,1,6.33333333333333
"34",90003,2,2
"35",90003,3,17.6666666666667
"36",90003,4,20.6666666666667
"37",90003,5,44
"38",90003,6,33.3333333333333
"39",90003,7,27
"40",90003,8,31
"41",90003,9,4
"42",90003,10,0.666666666666667
"43",90003,11,5.33333333333333
"44",90003,12,9
"45",90003,13,36
"46",90003,14,22.3333333333333
"47",90003,15,26.6666666666667
"48",90003,16,45.3333333333333
"49",90004,1,1.66666666666667
"50",90004,2,0.333333333333333
"51",90004,3,4
"52",90004,4,9
"53",90004,5,24.6666666666667
"54",90004,6,19.3333333333333
"55",90004,7,26
"56",90004,8,39
"57",90004,9,1.33333333333333
"58",90004,10,0.333333333333333
"59",90004,11,2.33333333333333
"60",90004,12,4
"61",90004,13,15.6666666666667
"62",90004,14,15.3333333333333
"63",90004,15,21
"64",90004,16,66.3333333333333
"65",90005,1,1
"66",90005,2,0.333333333333333
"67",90005,3,1.66666666666667
"68",90005,4,8.66666666666667
"69",90005,5,14
"70",90005,6,10.6666666666667
"71",90005,7,15.6666666666667
"72",90005,8,25.3333333333333
"73",90005,9,1
"74",90005,10,0
"75",90005,11,0.666666666666667
"76",90005,12,3
"77",90005,13,9
"78",90005,14,11
"79",90005,15,13
"80",90005,16,34.6666666666667
"81",90006,1,3.66666666666667
"82",90006,2,0.333333333333333
"83",90006,3,4
"84",90006,4,12.6666666666667
"85",90006,5,24.6666666666667
"86",90006,6,27.6666666666667
"87",90006,7,29
"88",90006,8,25.3333333333333
"89",90006,9,1.66666666666667
"90",90006,10,1.66666666666667
"91",90006,11,1
"92",90006,12,5
"93",90006,13,14
"94",90006,14,13.6666666666667
"95",90006,15,20.6666666666667
"96",90006,16,44.3333333333333
"97",90007,1,2.33333333333333
"98",90007,2,0
"99",90007,3,4.66666666666667
"100",90007,4,9.66666666666667
"101",90007,5,16.3333333333333
"102",90007,6,10.3333333333333
"103",90007,7,11.6666666666667
"104",90007,8,19.6666666666667
"105",90007,9,1.33333333333333
"106",90007,10,0
"107",90007,11,1
"108",90007,12,3
"109",90007,13,6.33333333333333
"110",90007,14,6.33333333333333
"111",90007,15,14.3333333333333
"112",90007,16,25
"113",90008,1,2
"114",90008,2,0.333333333333333
"115",90008,3,5
"116",90008,4,8.33333333333333
"117",90008,5,24.6666666666667
"118",90008,6,24.3333333333333
"119",90008,7,26.6666666666667
"120",90008,8,48.6666666666667
"121",90008,9,2
"122",90008,10,0.333333333333333
"123",90008,11,0.666666666666667
"124",90008,12,5
"125",90008,13,23
"126",90008,14,21
"127",90008,15,30
"128",90008,16,83
"129",90010,1,0
"130",90010,2,0
"131",90010,3,0
"132",90010,4,0.333333333333333
"133",90010,5,1
"134",90010,6,1.33333333333333
"135",90010,7,1
"136",90010,8,3
"137",90010,9,0
"138",90010,10,0
"139",90010,11,0
"140",90010,12,0
"141",90010,13,0.666666666666667
"142",90010,14,1
"143",90010,15,1
"144",90010,16,3.66666666666667
"145",90011,1,8.66666666666667
"146",90011,2,2
"147",90011,3,18.6666666666667
"148",90011,4,24
"149",90011,5,43
"150",90011,6,37
"151",90011,7,30
"152",90011,8,30.3333333333333
"153",90011,9,5.66666666666667
"154",90011,10,0.333333333333333
"155",90011,11,5.33333333333333
"156",90011,12,8
"157",90011,13,33
"158",90011,14,20.6666666666667
"159",90011,15,26.3333333333333
"160",90011,16,56.6666666666667
"161",90012,1,0.666666666666667
"162",90012,2,0.333333333333333
"163",90012,3,1.33333333333333
"164",90012,4,3.33333333333333
"165",90012,5,9.66666666666667
"166",90012,6,11.6666666666667
"167",90012,7,23
"168",90012,8,48
"169",90012,9,0.333333333333333
"170",90012,10,0
"171",90012,11,0.333333333333333
"172",90012,12,2.66666666666667
"173",90012,13,5.33333333333333
"174",90012,14,6.66666666666667
"175",90012,15,13.6666666666667
"176",90012,16,53.6666666666667
"177",90013,1,0.666666666666667
"178",90013,2,0
"179",90013,3,1.33333333333333
"180",90013,4,4.33333333333333
"181",90013,5,18.3333333333333
"182",90013,6,15.3333333333333
"183",90013,7,11.3333333333333
"184",90013,8,11.6666666666667
"185",90013,9,1
"186",90013,10,0
"187",90013,11,0.333333333333333
"188",90013,12,1.33333333333333
"189",90013,13,5
"190",90013,14,3
"191",90013,15,5.66666666666667
"192",90013,16,11.3333333333333
"193",90014,1,0.333333333333333
"194",90014,2,0.333333333333333
"195",90014,3,0.666666666666667
"196",90014,4,3.33333333333333
"197",90014,5,12.6666666666667
"198",90014,6,12.3333333333333
"199",90014,7,9
"200",90014,8,10.6666666666667
"201",90014,9,0.333333333333333
"202",90014,10,0
"203",90014,11,0
"204",90014,12,0.666666666666667
"205",90014,13,2.66666666666667
"206",90014,14,2.66666666666667
"207",90014,15,3.66666666666667
"208",90014,16,8
"209",90015,1,1.66666666666667
"210",90015,2,0.333333333333333
"211",90015,3,1.33333333333333
"212",90015,4,2.33333333333333
"213",90015,5,10
"214",90015,6,8.33333333333333
"215",90015,7,5
"216",90015,8,7.33333333333333
"217",90015,9,0.333333333333333
"218",90015,10,0.333333333333333
"219",90015,11,0.666666666666667
"220",90015,12,1
"221",90015,13,3
"222",90015,14,3.33333333333333
"223",90015,15,6.33333333333333
"224",90015,16,15
"225",90016,1,4.33333333333333
"226",90016,2,1
"227",90016,3,4.66666666666667
"228",90016,4,9.66666666666667
"229",90016,5,27.6666666666667
"230",90016,6,33
"231",90016,7,34.6666666666667
"232",90016,8,45.3333333333333
"233",90016,9,3
"234",90016,10,0
"235",90016,11,1
"236",90016,12,4.33333333333333
"237",90016,13,23.3333333333333
"238",90016,14,18
"239",90016,15,29
"240",90016,16,88.6666666666667
"241",90017,1,1
"242",90017,2,0.333333333333333
"243",90017,3,2.66666666666667
"244",90017,4,4.33333333333333
"245",90017,5,11.6666666666667
"246",90017,6,9
"247",90017,7,9
"248",90017,8,12.6666666666667
"249",90017,9,2
"250",90017,10,0.333333333333333
"251",90017,11,0.666666666666667
"252",90017,12,2
"253",90017,13,6.33333333333333
"254",90017,14,4.33333333333333
"255",90017,15,10
"256",90017,16,10.6666666666667
"257",90018,1,3.33333333333333
"258",90018,2,0.666666666666667
"259",90018,3,12.6666666666667
"260",90018,4,11
"261",90018,5,35
"262",90018,6,32.3333333333333
"263",90018,7,33.6666666666667
"264",90018,8,50.3333333333333
"265",90018,9,3.33333333333333
"266",90018,10,0.333333333333333
"267",90018,11,2.66666666666667
"268",90018,12,3.33333333333333
"269",90018,13,24
"270",90018,14,26
"271",90018,15,35.3333333333333
"272",90018,16,101.333333333333
"273",90019,1,2.33333333333333
"274",90019,2,0
"275",90019,3,5.66666666666667
"276",90019,4,13.6666666666667
"277",90019,5,42.6666666666667
"278",90019,6,38
"279",90019,7,35.6666666666667
"280",90019,8,66
"281",90019,9,1.66666666666667
"282",90019,10,0
"283",90019,11,2.33333333333333
"284",90019,12,5
"285",90019,13,20
"286",90019,14,29.3333333333333
"287",90019,15,31
"288",90019,16,96
"289",90020,1,1.33333333333333
"290",90020,2,0.333333333333333
"291",90020,3,2
"292",90020,4,3.66666666666667
"293",90020,5,19.6666666666667
"294",90020,6,13.6666666666667
"295",90020,7,15.3333333333333
"296",90020,8,19.6666666666667
"297",90020,9,0.333333333333333
"298",90020,10,0
"299",90020,11,2.66666666666667
"300",90020,12,4
"301",90020,13,7.33333333333333
"302",90020,14,7.66666666666667
"303",90020,15,12
"304",90020,16,30.3333333333333
"305",90021,1,0
"306",90021,2,0
"307",90021,3,0
"308",90021,4,1.33333333333333
"309",90021,5,7
"310",90021,6,6.33333333333333
"311",90021,7,3.33333333333333
"312",90021,8,1.33333333333333
"313",90021,9,0
"314",90021,10,0
"315",90021,11,0
"316",90021,12,0.333333333333333
"317",90021,13,4
"318",90021,14,2
"319",90021,15,0.333333333333333
"320",90021,16,0.666666666666667
"321",90022,1,3.33333333333333
"322",90022,2,0.333333333333333
"323",90022,3,9.33333333333333
"324",90022,4,13.3333333333333
"325",90022,5,30
"326",90022,6,26.3333333333333
"327",90022,7,27.6666666666667
"328",90022,8,47
"329",90022,9,3.66666666666667
"330",90022,10,0.333333333333333
"331",90022,11,2.33333333333333
"332",90022,12,4.66666666666667
"333",90022,13,18.3333333333333
"334",90022,14,18.6666666666667
"335",90022,15,36.3333333333333
"336",90022,16,84.3333333333333
"337",90023,1,2.66666666666667
"338",90023,2,0.333333333333333
"339",90023,3,7
"340",90023,4,10.3333333333333
"341",90023,5,24
"342",90023,6,19.6666666666667
"343",90023,7,23
"344",90023,8,29
"345",90023,9,2.33333333333333
"346",90023,10,0
"347",90023,11,1.66666666666667
"348",90023,12,2.33333333333333
"349",90023,13,9
"350",90023,14,9.66666666666667
"351",90023,15,18
"352",90023,16,43
"353",90024,1,1.66666666666667
"354",90024,2,0
"355",90024,3,1.33333333333333
"356",90024,4,2
"357",90024,5,6.33333333333333
"358",90024,6,6.33333333333333
"359",90024,7,17
"360",90024,8,70
"361",90024,9,0
"362",90024,10,0.333333333333333
"363",90024,11,1
"364",90024,12,1.66666666666667
