"","GEOID","AllDeathPerYear","AgeGender_PopDet","male1","male2","male3","male4","male5","male6","male7","male8","female1","female2","female3","female4","female5","female6","female7","female8","male1Share","male2Share","male3Share","male4Share","male5Share","male6Share","male7Share","male8Share","female1Share","female2Share","female3Share","female4Share","female5Share","female6Share","female7Share","female8Share","Both1Share","Both2Share","Both3Share","Both4Share","Both5Share","Both6Share","Both7Share","Both8Share","maleShareUnder30","maleShare30To60","maleShareOver50","maleShareOver60","maleShareOver70","maleShareOver80","femaleShareUnder30","femaleShare30To60","femaleShareOver50","femaleShareOver60","femaleShareOver70","femaleShareOver80","BothShareUnder30","BothShare30To60","BothShareOver50","BothShareOver60","BothShareOver70","BothShareOver80","RaceEth_PopDet","White","Black","Hispanic","WhiteShare","BlackShare","HispanicShare","Edu_PopDet","Edu1","Edu2","Edu3","Edu4","Edu1to2","Edu1to3","Edu1Share","Edu2Share","Edu3Share","Edu4Share","Edu1to2Share","Edu1to3Share","Pov_PopDet","Poverty","Poverty2","PovertyShare","Poverty2Share","Inc_HHDet","Income_Less20K","Income_Less30K","Income_Less40K","Income_Less50K","Income_Less60K","Income_Less75K","Income_Less100K","Income_Less20KShare","Income_Less30KShare","Income_Less40KShare","Income_Less50KShare","Income_Less60KShare","Income_Less75KShare","Income_Less100KShare","Emp_PopDet","UnemployedShare","AnnualDeathPerCap"
"1","90001",228,57110,2922,5411,7708,6188,4151,1263,556,269,2811,5401,7412,6142,4167,1428,747,534,0.0511644195412362,0.0947469795132201,0.134967606373665,0.10835230257398,0.0726842934687445,0.0221152162493434,0.00973559796883208,0.00471020836981264,0.0492208019611277,0.0945718788303274,0.129784626160042,0.107546839432674,0.0729644545613728,0.0250043775170723,0.0130800210120819,0.00935037646646822,0.100385221502364,0.189318858343548,0.264752232533707,0.215899142006654,0.145648748030117,0.0471195937664157,0.022815618980914,0.0140605848362809,0.280879005428121,0.181036596042725,0.0806338644720714,0.0365610225879881,0.0144458063386447,0.00471020836981264,0.273577306951497,0.180511293994047,0.0922255296795658,0.0474347749956225,0.0224303974785502,0.00935037646646822,0.554456312379618,0.361547890036771,0.172859394151637,0.0839957975836106,0.0368762038171949,0.0140605848362809,57110,356,5857,50544,0.00623358431097881,0.102556469970233,0.885028891612677,29210,17816,6300,3904,1190,24116,28020,0.609928106812735,0.215679561793906,0.133652858610065,0.0407394727832934,0.825607668606642,0.959260527216707,54474,15327,33978,0.28136358629805,0.623747108712413,12853,2876,5225,7003,8478,9395,10718,11825,0.223760989652221,0.406519878627558,0.544853341632304,0.659612541819031,0.730957753053762,0.833890920407687,0.92001867268342,38441,0.0611326448323405,0.00399229556995272
"2","90002",267.333333333333,51223,2748,5003,6909,4787,3662,1026,489,252,2570,4964,7061,5181,4085,1251,741,494,0.0536477754133885,0.0976709681197899,0.13488081525877,0.0934541124104406,0.0714913222575796,0.0200300646194092,0.00954649278644359,0.00491966499424087,0.0501727739492025,0.0969095913944908,0.137848232239424,0.101145969583976,0.0797493313550554,0.0244226226499815,0.0144661577806845,0.00964410518712297,0.103820549362591,0.194580559514281,0.272729047498194,0.194600081994417,0.151240653612635,0.0444526872693907,0.024012650567128,0.0145637701813638,0.286199558791949,0.16494543466802,0.0779337407024188,0.0344962224000937,0.0144661577806845,0.00491966499424087,0.284930597583117,0.180895300939031,0.0967338890732679,0.0485328856177889,0.0241102629678074,0.00964410518712297,0.571130156375066,0.345840735607052,0.174667629775687,0.0830291080178826,0.0385764207484919,0.0145637701813638,51223,330,12723,37598,0.00644241844483923,0.248384514768756,0.734006208148683,23414,11573,6120,4721,1000,17693,22414,0.494276928333476,0.261382079097976,0.20163150251986,0.0427094900486888,0.755659007431451,0.957290509951311,46179,15046,29881,0.32581909525975,0.647069014054007,11152,3591,5348,6506,7524,8383,9283,10274,0.322005021520803,0.479555236728838,0.583393113342898,0.67467718794835,0.751703730272597,0.832406743185079,0.921269727403156,31522,0.0493623501046888,0.00521900968965764
"3","90003",331.333333333333,66266,3469,6426,8983,6775,4760,1358,614,246,3368,6189,8822,7091,5257,1522,851,535,0.0523496212235536,0.0969728065674705,0.135559713880421,0.102239459149488,0.0718317085684967,0.0204931639151299,0.00926568677753297,0.00371231098904416,0.0508254610207346,0.0933963118341231,0.133130111972957,0.107008118793952,0.0793317840219721,0.022968037907826,0.0128421815108804,0.00807352186641717,0.103175082244288,0.190369118401594,0.268689825853379,0.20924757794344,0.151163492590469,0.043461201822956,0.0221078682884134,0.0117858328554613,0.284882141671445,0.174071167717985,0.07613255666556,0.0334711616817071,0.0129779977665771,0.00371231098904416,0.277351884827815,0.186339902815924,0.092521051519633,0.0438837412851236,0.0209157033772976,0.00807352186641717,0.562234026499261,0.360411070533909,0.168653608185193,0.0773549029668306,0.0338937011438747,0.0117858328554613,66266,462,15672,49386,0.00697190112576585,0.236501373253252,0.74526906709323,33790,18076,8091,6089,1534,26167,32256,0.534951168984907,0.239449541284404,0.180201242971293,0.0453980467593963,0.77440071026931,0.954601953240604,65924,24974,47351,0.378830168072326,0.718266488683939,16151,5933,8404,10240,11705,12934,14286,15331,0.367345675190391,0.520339297876293,0.634016469568448,0.724722927372918,0.800817286855303,0.884527273853012,0.949229149897839,44942,0.0689110408971563,0.00500005030231692
"4","90004",250.333333333333,62180,2052,3565,7825,8455,5930,2097,911,467,1920,3440,6979,7468,6388,2580,1286,817,0.0330009649404953,0.0573335477645545,0.125844322933419,0.135976198134448,0.0953682856223866,0.0337246703119974,0.0146510131875201,0.00751045352203281,0.0308780958507559,0.0553232550659376,0.11223866194918,0.120102926986169,0.102733998070119,0.0414924412994532,0.0206818912833709,0.0131392730781602,0.0638790607912512,0.112656802830492,0.238082984882599,0.256079125120618,0.198102283692506,0.0752171116114506,0.035332904470891,0.020649726600193,0.216178835638469,0.231344483756835,0.114216789964619,0.0558861370215503,0.0221614667095529,0.00751045352203281,0.198440012865873,0.222836925056288,0.141026053393374,0.0753136056609842,0.033821164361531,0.0131392730781602,0.414618848504342,0.454181408813123,0.255242843357993,0.131199742682535,0.0559826310710839,0.020649726600193,62180,10466,1962,31987,0.168317787069797,0.0315535541974912,0.514425860405275,43639,12480,8559,9212,13388,21039,30251,0.28598272187722,0.196131900364353,0.211095579642063,0.306789798116364,0.482114622241573,0.693210201883636,63842,14670,33791,0.229786034272109,0.529291062310078,23128,5280,8892,12266,14260,15931,17616,19444,0.228294707713594,0.38446904185403,0.530352819093739,0.61656866136285,0.688818747838118,0.7616741611899,0.840712556208924,52285,0.0809983742947308,0.00402594617776348
"5","90005",149.666666666667,37681,1215,2084,5231,5328,3388,1099,657,297,1124,1916,4351,4441,3490,1427,1011,622,0.0322443671877073,0.0553063878347178,0.138823279636952,0.141397521297205,0.0899126880921419,0.0291658926249303,0.0174358429977973,0.00788195642366179,0.0298293569703564,0.0508479074334545,0.115469334677954,0.117857806321488,0.0926196226214803,0.0378705448369205,0.0268304981290305,0.0165069929142008,0.0620737241580637,0.106154295268172,0.254292614314907,0.259255327618694,0.182532310713622,0.0670364374618508,0.0442663411268278,0.0243889493378626,0.226374034659377,0.231310209389347,0.108065072582999,0.0544836920463894,0.0253177994214591,0.00788195642366179,0.196146599081765,0.210477428942969,0.139725591146732,0.0812080358801518,0.0433374910432313,0.0165069929142008,0.422520633741143,0.441787638332316,0.247790663729731,0.135691727926541,0.0686552904646904,0.0243889493378626,37681,3039,1788,19578,0.0806507258299939,0.047450969984873,0.519572198190069,28357,9151,6761,5202,7243,15912,21114,0.322706915400078,0.238424374933879,0.183446767993793,0.25542194167225,0.561131290333956,0.74457805832775,41092,10197,23733,0.24815049157987,0.577557675459944,15775,4657,6981,9715,11073,12514,13622,14541,0.295213946117274,0.442535657686212,0.615847860538827,0.701933438985737,0.793280507131537,0.86351822503962,0.921774960380349,33351,0.0826062187040868,0.00397193988128411
"6","90006",229.333333333333,59185,2298,3865,8012,7692,5253,1897,869,368,2166,3798,6917,6567,5395,2204,1127,757,0.0388274055926333,0.0653037087099772,0.135372138210695,0.129965362845316,0.0887555968573118,0.0320520402128918,0.0146827743516094,0.0062177916701867,0.0365971107544141,0.0641716651178508,0.116870828757286,0.110957168201402,0.0911548534256991,0.037239165329053,0.0190419869899468,0.0127904029737265,0.0754245163470474,0.129475373827828,0.252242966967982,0.240922531046718,0.179910450283011,0.0692912055419447,0.0337247613415561,0.0190081946439132,0.239503252513306,0.218720959702627,0.108034130269494,0.0529526062346878,0.0209005660217961,0.0062177916701867,0.217639604629551,0.202112021627101,0.127785756526147,0.0690715552927262,0.0318323899636732,0.0127904029737265,0.457142857142857,0.420832981329729,0.235819886795641,0.122024161527414,0.0527329559854693,0.0190081946439132,59185,1861,1862,44074,0.0314437779842866,0.0314606741573034,0.744681929542959,36776,17752,9192,5174,4658,26944,32118,0.482706112682184,0.249945616706548,0.140689580160975,0.126658690450294,0.732651729388732,0.873341309549706,57159,18083,39848,0.316363127416505,0.697143057086373,18107,5745,9205,12213,13706,14951,16463,17367,0.317280609708952,0.508366929916607,0.67449052852488,0.756944827967085,0.825702766885735,0.909206384271276,0.959131827470039,44983,0.0887001756219016,0.00387485567852215
"7","90007",132,40920,1082,1909,10708,3429,2299,831,441,216,1011,1982,9295,3069,2485,1063,632,468,0.0264418377321603,0.0466520039100684,0.261681329423265,0.0837976539589443,0.0561827956989247,0.0203079178885631,0.0107771260997067,0.00527859237536657,0.0247067448680352,0.048435972629521,0.227150537634409,0.075,0.0607282502443793,0.0259775171065494,0.01544477028348,0.0114369501466276,0.0511485826001955,0.0950879765395894,0.488831867057673,0.158797653958944,0.116911045943304,0.0462854349951124,0.0262218963831867,0.0167155425219941,0.334775171065494,0.139980449657869,0.0714565004887586,0.0363636363636364,0.0160557184750733,0.00527859237536657,0.300293255131965,0.135728250244379,0.0930351906158358,0.0528592375366569,0.0268817204301075,0.0114369501466276,0.635068426197458,0.275708699902248,0.164491691104594,0.0892228739002933,0.0429374389051808,0.0167155425219941,40920,7053,4306,22167,0.172360703812317,0.105229716520039,0.541715542521994,19096,8844,3532,3254,3466,12376,15630,0.463133640552995,0.184960201089233,0.170402178466695,0.181503979891077,0.648093841642229,0.818496020108923,35989,15435,26212,0.428881046986579,0.72833365750646,11273,5253,6826,7991,8812,9361,9975,10693,0.465980661758183,0.605517608444957,0.708861882373814,0.781690765545995,0.830391200212898,0.884857624412313,0.948549631863745,35954,0.0660010012794126,0.0032258064516129
"8","90008",305,32327,1053,2048,3006,2766,3041,1249,812,502,1015,1890,3261,3506,3967,1956,1285,970,0.0325733906641507,0.0633526154607604,0.0929872861694559,0.085563151545148,0.0940699724688341,0.0386364339406688,0.0251183221455749,0.0155288149225106,0.0313979026819686,0.0584650601664244,0.100875429207783,0.108454233303431,0.122714758560955,0.060506697188109,0.039750054134315,0.0300058774399109,0.0639712933461193,0.121817675627185,0.193862715377239,0.194017384848579,0.216784731029789,0.0991431311287778,0.0648683762798899,0.0455346923624215,0.188913292294367,0.179633124013982,0.140625483342098,0.0792835710087543,0.0406471370680855,0.0155288149225106,0.190738392056176,0.231168991864386,0.208092306740496,0.130262628762335,0.0697559315742259,0.0300058774399109,0.379651684350543,0.410802115878368,0.348717790082594,0.209546199771089,0.110403068642311,0.0455346923624215,32327,731,22152,7561,0.022612676709871,0.685247625823615,0.233891174559965,22856,3639,5639,8112,5466,9278,17390,0.159214210710536,0.246718585929296,0.354917745887294,0.239149457472874,0.405932796639832,0.760850542527126,34231,8143,15283,0.237883789547486,0.4464666530338,14618,4454,6098,7590,8999,10276,11346,12851,0.304692844438364,0.41715692981256,0.519222875906417,0.61561089068272,0.702968942399781,0.776166370228485,0.879121630866056,27365,0.0732322309519459,0.00943483775172457
"9","90010",13,3800,75,101,422,586,360,180,101,49,70,83,511,479,374,189,132,88,0.0197368421052632,0.0265789473684211,0.111052631578947,0.154210526315789,0.0947368421052632,0.0473684210526316,0.0265789473684211,0.0128947368421053,0.0184210526315789,0.0218421052631579,0.134473684210526,0.126052631578947,0.098421052631579,0.0497368421052632,0.0347368421052632,0.0231578947368421,0.0381578947368421,0.0484210526315789,0.245526315789474,0.280263157894737,0.193157894736842,0.0971052631578947,0.0613157894736842,0.0360526315789474,0.157368421052632,0.248947368421053,0.146578947368421,0.0868421052631579,0.0394736842105263,0.0128947368421053,0.174736842105263,0.224473684210526,0.172631578947368,0.107631578947368,0.0578947368421053,0.0231578947368421,0.332105263157895,0.473421052631579,0.319210526315789,0.194473684210526,0.0973684210526316,0.0360526315789474,3800,723,160,343,0.190263157894737,0.0421052631578947,0.0902631578947368,2761,440,354,645,1322,794,1439,0.159362549800797,0.128214415067005,0.233611010503441,0.478812024628758,0.287576964867802,0.521187975371242,3229,646,1117,0.200061938680706,0.345927531743574,1683,440,609,684,840,1001,1271,1349,0.261437908496732,0.361853832442068,0.406417112299465,0.499108734402852,0.594771241830065,0.755199049316696,0.80154486036839,2898,0.0593512767425811,0.00342105263157895
"10","90011",349.666666666667,103892,5459,9945,14786,12243,7069,2003,896,393,5270,9630,13518,11336,7305,2210,1176,653,0.0525449505255458,0.0957244061140415,0.142320871674431,0.117843529819428,0.0680418126515997,0.0192796365456436,0.00862434066145613,0.00378277441958957,0.0507257536672699,0.0926924113502483,0.130115889577638,0.109113309975744,0.070313402379394,0.0212720902475648,0.0113194471181612,0.00628537327224425,0.103270704192816,0.18841681746429,0.272436761252069,0.226956839795172,0.138355215030994,0.0405517267932083,0.0199437877796173,0.0100681476918338,0.290590228314018,0.185885342471028,0.071632079467139,0.0316867516266893,0.0124071150810457,0.00378277441958957,0.273534054595157,0.179426712355138,0.0808339429407462,0.0388769106379702,0.0176048203904054,0.00628537327224425,0.564124282909175,0.365312054826166,0.152466022407885,0.0705636622646595,0.0300119354714511,0.0100681476918338,103892,720,9189,92879,0.00693027374581296,0.0884476186809379,0.893995687829669,54310,35112,11239,6257,1702,46351,52608,0.646510771496962,0.206941631375437,0.115208985453876,0.0313386116737249,0.853452402872399,0.968661388326275,100998,41810,76618,0.413968593437494,0.758609081367948,22258,7189,11085,13977,16181,17948,19926,21153,0.322984994159403,0.498023182675892,0.627953994069548,0.726974570940785,0.806361757570312,0.895228681822266,0.95035492856501,70070,0.0554730983302412,0.00336567461081379
