"","zcta","total population","Death Count","non-Hisp White","non-Hisp Black","Hisp or Latino","Poverty","Edu1","male1","male2","male3","male4","male5","male6","male7","male8","female1","female2","female3","female4","female5","female6","female7","female8"
"1",90001,57110,228,356,5857,50544,15327,17816,2922,5411,7708,6188,4151,1263,556,269,2811,5401,7412,6142,4167,1428,747,534
"2",90002,51223,267.333333333333,330,12723,37598,15046,11573,2748,5003,6909,4787,3662,1026,489,252,2570,4964,7061,5181,4085,1251,741,494
"3",90003,66266,331.333333333333,462,15672,49386,24974,18076,3469,6426,8983,6775,4760,1358,614,246,3368,6189,8822,7091,5257,1522,851,535
"4",90004,62180,250.333333333333,10466,1962,31987,14670,12480,2052,3565,7825,8455,5930,2097,911,467,1920,3440,6979,7468,6388,2580,1286,817
"5",90005,37681,149.666666666667,3039,1788,19578,10197,9151,1215,2084,5231,5328,3388,1099,657,297,1124,1916,4351,4441,3490,1427,1011,622
"6",90006,59185,229.333333333333,1861,1862,44074,18083,17752,2298,3865,8012,7692,5253,1897,869,368,2166,3798,6917,6567,5395,2204,1127,757
"7",90007,40920,132,7053,4306,22167,15435,8844,1082,1909,10708,3429,2299,831,441,216,1011,1982,9295,3069,2485,1063,632,468
"8",90008,32327,305,731,22152,7561,8143,3639,1053,2048,3006,2766,3041,1249,812,502,1015,1890,3261,3506,3967,1956,1285,970
"9",90010,3800,13,723,160,343,646,440,75,101,422,586,360,180,101,49,70,83,511,479,374,189,132,88
"10",90011,103892,349.666666666667,720,9189,92879,41810,35112,5459,9945,14786,12243,7069,2003,896,393,5270,9630,13518,11336,7305,2210,1176,653
"11",90012,31103,180.666666666667,4342,4085,8426,7604,8808,425,826,6063,5998,3664,1093,818,606,428,824,2984,2400,1875,1048,1055,996
"12",90013,11772,90.6666666666666,3301,3731,2409,4082,1719,87,87,1203,2309,2632,791,334,186,74,93,1015,1122,980,324,285,250
"13",90014,7005,67.3333333333334,2158,2005,1379,2434,1578,42,44,760,1338,1345,498,282,162,29,59,641,614,500,210,260,221
"14",90015,18986,66.3333333333333,1944,1240,12875,6345,5509,615,1152,2760,2772,1603,527,276,128,591,1078,2753,2130,1376,566,424,235
