,zcta
1,90001
2,90002
3,90003
4,90004
5,90005
6,90006
7,90007
8,90008
9,90010
10,90011
11,90012
12,90013
13,90014
14,90015
15,90016
16,90017
17,90018
18,90019
19,90020
20,90021
21,90022
22,90023
23,90024
24,90025
25,90026
26,90027
27,90028
28,90029
29,90031
30,90032
31,90033
32,90034
33,90035
34,90036
35,90037
36,90038
37,90039
38,90040
39,90041
40,90042
41,90043
42,90044
43,90045
44,90046
45,90047
46,90048
47,90049
48,90056
49,90057
50,90058
51,90059
52,90061
53,90062
54,90063
55,90064
56,90065
57,90066
58,90067
59,90068
60,90069
61,90071
62,90073
63,90077
64,90079
65,90089
66,90090
67,90094
68,90095
69,90201
70,90210
71,90211
72,90212
73,90220
74,90221
75,90222
76,90230
77,90232
78,90240
79,90241
80,90242
81,90245
82,90247
83,90248
84,90249
85,90250
86,90254
87,90255
88,90260
89,90262
90,90263
91,90265
92,90266
93,90270
94,90272
95,90274
96,90275
97,90277
98,90278
99,90280
100,90290
101,90291
102,90292
103,90293
104,90301
105,90302
106,90303
107,90304
108,90305
109,90401
110,90402
111,90403
112,90404
113,90405
114,90501
115,90502
116,90503
117,90504
118,90505
119,90506
120,90601
121,90602
122,90603
123,90604
124,90605
125,90606
126,90620
127,90621
128,90623
129,90630
130,90631
131,90638
132,90640
133,90650
134,90660
135,90670
136,90680
137,90701
138,90703
139,90704
140,90706
141,90710
142,90712
143,90713
144,90715
145,90716
146,90717
147,90720
148,90723
149,90731
150,90732
151,90740
152,90742
153,90743
154,90744
155,90745
156,90746
157,90747
158,90755
159,90802
160,90803
161,90804
162,90805
163,90806
164,90807
165,90808
166,90810
167,90813
168,90814
169,90815
170,90822
171,90831
172,91001
173,91006
174,91007
175,91008
176,91010
177,91011
178,91016
179,91020
180,91024
181,91030
182,91040
183,91042
184,91046
185,91101
186,91103
187,91104
188,91105
189,91106
190,91107
191,91108
192,91201
193,91202
194,91203
195,91204
196,91205
197,91206
198,91207
199,91208
200,91210
201,91214
202,91301
203,91302
204,91303
205,91304
206,91306
207,91307
208,91311
209,91316
210,91320
211,91321
212,91324
213,91325
214,91326
215,91330
216,91331
217,91335
218,91340
219,91342
220,91343
221,91344
222,91345
223,91350
224,91351
225,91352
226,91354
227,91355
228,91356
229,91360
230,91361
231,91362
232,91364
233,91367
234,91371
235,91377
236,91381
237,91384
238,91387
239,91390
240,91401
241,91402
242,91403
243,91405
244,91406
245,91411
246,91423
247,91436
248,91501
249,91502
250,91504
251,91505
252,91506
253,91601
254,91602
255,91604
256,91605
257,91606
258,91607
259,91608
260,91701
261,91702
262,91706
263,91708
264,91709
265,91710
266,91711
267,91722
268,91723
269,91724
270,91730
271,91731
272,91732
273,91733
274,91737
275,91739
276,91740
277,91741
278,91744
279,91745
280,91746
281,91748
282,91750
283,91752
284,91754
285,91755
286,91759
287,91761
288,91762
289,91763
290,91764
291,91765
292,91766
293,91767
294,91768
295,91770
296,91773
297,91775
298,91776
299,91780
300,91784
301,91786
302,91789
303,91790
304,91791
305,91792
306,91801
307,91803
308,91901
309,91902
310,91905
311,91906
312,91910
313,91911
314,91913
315,91914
316,91915
317,91916
318,91917
319,91931
320,91932
321,91934
322,91935
323,91941
324,91942
325,91945
326,91948
327,91950
328,91962
329,91963
330,91977
331,91978
332,91980
333,92003
334,92004
335,92007
336,92008
337,92009
338,92010
339,92011
340,92014
341,92019
342,92020
343,92021
344,92024
345,92025
346,92026
347,92027
348,92028
349,92029
350,92036
351,92037
352,92040
353,92054
354,92055
355,92056
356,92057
357,92058
358,92059
359,92060
360,92061
361,92064
362,92065
363,92066
364,92067
365,92069
366,92070
367,92071
368,92075
369,92078
370,92081
371,92082
372,92083
373,92084
374,92086
375,92091
376,92101
377,92102
378,92103
379,92104
380,92105
381,92106
382,92107
383,92108
384,92109
385,92110
386,92111
387,92113
388,92114
389,92115
390,92116
391,92117
392,92118
393,92119
394,92120
395,92121
396,92122
397,92123
398,92124
399,92126
400,92127
401,92128
402,92129
403,92130
404,92131
405,92132
406,92134
407,92135
408,92139
409,92140
410,92145
411,92147
412,92154
413,92155
414,92173
415,92201
416,92203
417,92210
418,92211
419,92220
420,92222
421,92223
422,92225
423,92227
424,92230
425,92231
426,92233
427,92234
428,92236
429,92239
430,92240
431,92241
432,92242
433,92243
434,92249
435,92250
436,92251
437,92252
438,92253
439,92254
440,92256
441,92257
442,92258
443,92259
444,92260
445,92262
446,92264
447,92266
448,92267
449,92268
450,92270
451,92273
452,92274
453,92275
454,92276
455,92277
456,92278
457,92280
458,92281
459,92282
460,92283
461,92284
462,92285
463,92301
464,92304
465,92305
466,92307
467,92308
468,92309
469,92310
470,92311
471,92313
472,92314
473,92315
474,92316
475,92320
476,92321
477,92322
478,92324
479,92325
480,92327
481,92328
482,92332
483,92333
484,92335
485,92336
486,92337
487,92338
488,92339
489,92341
490,92342
491,92344
492,92345
493,92346
494,92347
495,92352
496,92354
497,92356
498,92358
499,92359
500,92363
501,92364
502,92365
503,92368
504,92371
505,92372
506,92373
507,92374
508,92376
509,92377
510,92378
511,92382
512,92384
513,92385
514,92386
515,92389
516,92391
517,92392
518,92394
519,92395
520,92397
521,92398
522,92399
523,92401
524,92404
525,92405
526,92407
527,92408
528,92410
529,92411
530,92501
531,92503
532,92504
533,92505
534,92506
535,92507
536,92508
537,92509
538,92518
539,92530
540,92532
541,92536
542,92539
543,92543
544,92544
545,92545
546,92548
547,92549
548,92551
549,92553
550,92555
551,92557
552,92561
553,92562
554,92563
555,92567
556,92570
557,92571
558,92582
559,92583
560,92584
561,92585
562,92586
563,92587
564,92590
565,92591
566,92592
567,92595
568,92596
569,92602
570,92603
571,92604
572,92606
573,92610
574,92612
575,92614
576,92617
577,92618
578,92620
579,92624
580,92625
581,92626
582,92627
583,92629
584,92630
585,92637
586,92646
587,92647
588,92648
589,92649
590,92651
591,92653
592,92655
593,92656
594,92657
595,92660
596,92661
597,92662
598,92663
599,92672
600,92673
601,92675
602,92676
603,92677
604,92678
605,92679
606,92683
607,92688
608,92691
609,92692
610,92694
611,92701
612,92703
613,92704
614,92705
615,92706
616,92707
617,92708
618,92780
619,92782
620,92801
621,92802
622,92804
623,92805
624,92806
625,92807
626,92808
627,92821
628,92823
629,92831
630,92832
631,92833
632,92835
633,92840
634,92841
635,92843
636,92844
637,92845
638,92860
639,92861
640,92865
641,92866
642,92867
643,92868
644,92869
645,92870
646,92879
647,92880
648,92881
649,92882
650,92883
651,92886
652,92887
653,93001
654,93003
655,93004
656,93010
657,93012
658,93013
659,93015
660,93021
661,93022
662,93023
663,93030
664,93033
665,93035
666,93036
667,93040
668,93041
669,93042
670,93043
671,93060
672,93063
673,93064
674,93065
675,93066
676,93067
677,93101
678,93103
679,93105
680,93108
681,93109
682,93110
683,93111
684,93117
685,93201
686,93202
687,93203
688,93204
689,93205
690,93206
691,93207
692,93208
693,93210
694,93212
695,93215
696,93218
697,93219
698,93220
699,93221
700,93222
701,93223
702,93224
703,93225
704,93226
705,93230
706,93234
707,93235
708,93238
709,93239
710,93240
711,93241
712,93242
713,93243
714,93244
715,93245
716,93247
717,93249
718,93250
719,93251
720,93252
721,93254
722,93255
723,93256
724,93257
725,93258
726,93260
727,93261
728,93262
729,93263
730,93265
731,93266
732,93267
733,93268
734,93270
735,93271
736,93272
737,93274
738,93276
739,93277
740,93280
741,93283
742,93285
743,93286
744,93287
745,93291
746,93292
747,93301
748,93304
749,93305
750,93306
751,93307
752,93308
753,93309
754,93311
755,93312
756,93313
757,93314
758,93401
759,93402
760,93405
761,93410
762,93420
763,93422
764,93424
765,93426
766,93427
767,93428
768,93429
769,93430
770,93432
771,93433
772,93434
773,93436
774,93437
775,93440
776,93441
777,93442
778,93444
779,93445
780,93446
781,93449
782,93450
783,93451
784,93452
785,93453
786,93454
787,93455
788,93458
789,93460
790,93461
791,93463
792,93465
793,93501
794,93505
795,93510
796,93512
797,93513
798,93514
799,93516
800,93517
801,93518
802,93519
803,93522
804,93523
805,93524
806,93526
807,93527
808,93528
809,93529
810,93530
811,93531
812,93532
813,93534
814,93535
815,93536
816,93541
817,93543
818,93544
819,93545
820,93546
821,93549
822,93550
823,93551
824,93552
825,93553
826,93554
827,93555
828,93558
829,93560
830,93561
831,93562
832,93563
833,93591
834,93592
835,93601
836,93602
837,93603
838,93604
839,93605
840,93606
841,93608
842,93609
843,93610
844,93611
845,93612
846,93614
847,93615
848,93616
849,93618
850,93619
851,93620
852,93621
853,93622
854,93623
855,93624
856,93625
857,93626
858,93627
859,93628
860,93630
861,93631
862,93633
863,93634
864,93635
865,93636
866,93637
867,93638
868,93640
869,93641
870,93643
871,93644
872,93645
873,93646
874,93647
875,93648
876,93650
877,93651
878,93652
879,93653
880,93654
881,93656
882,93657
883,93660
884,93662
885,93664
886,93665
887,93666
888,93667
889,93668
890,93669
891,93673
892,93675
893,93701
894,93702
895,93703
896,93704
897,93705
898,93706
899,93710
900,93711
901,93720
902,93721
903,93722
904,93723
905,93725
906,93726
907,93727
908,93728
909,93730
910,93901
911,93905
912,93906
913,93907
914,93908
915,93920
916,93921
917,93923
918,93924
919,93925
920,93926
921,93927
922,93928
923,93930
924,93932
925,93933
926,93940
927,93943
928,93950
929,93953
930,93954
931,93955
932,93960
933,93962
934,94002
935,94005
936,94010
937,94014
938,94015
939,94019
940,94020
941,94021
942,94022
943,94024
944,94025
945,94027
946,94028
947,94030
948,94037
949,94038
950,94040
951,94041
952,94043
953,94044
954,94060
955,94061
956,94062
957,94063
958,94065
959,94066
960,94070
961,94074
962,94080
963,94085
964,94086
965,94087
966,94089
967,94102
968,94103
969,94104
970,94105
971,94107
972,94108
973,94109
974,94110
975,94111
976,94112
977,94114
978,94115
979,94116
980,94117
981,94118
982,94121
983,94122
984,94123
985,94124
986,94127
987,94128
988,94129
989,94130
990,94131
991,94132
992,94133
993,94134
994,94158
995,94301
996,94303
997,94304
998,94305
999,94306
1000,94401
1001,94402
1002,94403
1003,94404
1004,94501
1005,94502
1006,94503
1007,94505
1008,94506
1009,94507
1010,94508
1011,94509
1012,94510
1013,94511
1014,94512
1015,94513
1016,94514
1017,94515
1018,94516
1019,94517
1020,94518
1021,94519
1022,94520
1023,94521
1024,94523
1025,94525
1026,94526
1027,94528
1028,94530
1029,94531
1030,94533
1031,94534
1032,94535
1033,94536
1034,94538
1035,94539
1036,94541
1037,94542
1038,94544
1039,94545
1040,94546
1041,94547
1042,94548
1043,94549
1044,94550
1045,94551
1046,94552
1047,94553
1048,94555
1049,94556
1050,94558
1051,94559
1052,94560
1053,94561
1054,94563
1055,94564
1056,94565
1057,94566
1058,94567
1059,94568
1060,94569
1061,94571
1062,94572
1063,94573
1064,94574
1065,94575
1066,94576
1067,94577
1068,94578
1069,94579
1070,94580
1071,94582
1072,94583
1073,94585
1074,94586
1075,94587
1076,94588
1077,94589
1078,94590
1079,94591
1080,94592
1081,94595
1082,94596
1083,94597
1084,94598
1085,94599
1086,94601
1087,94602
1088,94603
1089,94605
1090,94606
1091,94607
1092,94608
1093,94609
1094,94610
1095,94611
1096,94612
1097,94613
1098,94618
1099,94619
1100,94621
1101,94702
1102,94703
1103,94704
1104,94705
1105,94706
1106,94707
1107,94708
1108,94709
1109,94710
1110,94720
1111,94801
1112,94803
1113,94804
1114,94805
1115,94806
1116,94850
1117,94901
1118,94903
1119,94904
1120,94920
1121,94922
1122,94923
1123,94924
1124,94925
1125,94928
1126,94929
1127,94930
1128,94931
1129,94933
1130,94937
1131,94938
1132,94939
1133,94940
1134,94941
1135,94945
1136,94946
1137,94947
1138,94949
1139,94950
1140,94951
1141,94952
1142,94954
1143,94956
1144,94957
1145,94960
1146,94963
1147,94964
1148,94965
1149,94970
1150,94971
1151,94972
1152,94973
1153,95002
1154,95003
1155,95004
1156,95005
1157,95006
1158,95007
1159,95008
1160,95010
1161,95012
1162,95013
1163,95014
1164,95017
1165,95018
1166,95019
1167,95020
1168,95023
1169,95030
1170,95032
1171,95033
1172,95035
1173,95037
1174,95039
1175,95041
1176,95043
1177,95045
1178,95046
1179,95050
1180,95051
1181,95053
1182,95054
1183,95060
1184,95062
1185,95064
1186,95065
1187,95066
1188,95070
1189,95073
1190,95075
1191,95076
1192,95110
1193,95111
1194,95112
1195,95113
1196,95116
1197,95117
1198,95118
1199,95119
1200,95120
1201,95121
1202,95122
1203,95123
1204,95124
1205,95125
1206,95126
1207,95127
1208,95128
1209,95129
1210,95130
1211,95131
1212,95132
1213,95133
1214,95134
1215,95135
1216,95136
1217,95138
1218,95139
1219,95140
1220,95148
1221,95202
1222,95203
1223,95204
1224,95205
1225,95206
1226,95207
1227,95209
1228,95210
1229,95211
1230,95212
1231,95215
1232,95219
1233,95220
1234,95222
1235,95223
1236,95224
1237,95225
1238,95226
1239,95227
1240,95228
1241,95230
1242,95231
1243,95232
1244,95233
1245,95234
1246,95236
1247,95237
1248,95240
1249,95242
1250,95245
1251,95246
1252,95247
1253,95248
1254,95249
1255,95250
1256,95251
1257,95252
1258,95254
1259,95255
1260,95257
1261,95258
1262,95301
1263,95303
1264,95304
1265,95305
1266,95306
1267,95307
1268,95310
1269,95311
1270,95312
1271,95313
1272,95314
1273,95315
1274,95316
1275,95317
1276,95318
1277,95319
1278,95320
1279,95321
1280,95322
1281,95323
1282,95324
1283,95325
1284,95326
1285,95327
1286,95328
1287,95329
1288,95330
1289,95333
1290,95334
1291,95335
1292,95336
1293,95337
1294,95338
1295,95340
1296,95341
1297,95345
1298,95346
1299,95348
1300,95350
1301,95351
1302,95354
1303,95355
1304,95356
1305,95357
1306,95358
1307,95360
1308,95361
1309,95363
1310,95364
1311,95365
1312,95366
1313,95367
1314,95368
1315,95369
1316,95370
1317,95372
1318,95374
1319,95375
1320,95376
1321,95377
1322,95379
1323,95380
1324,95382
1325,95383
1326,95385
1327,95386
1328,95387
1329,95388
1330,95389
1331,95391
1332,95401
1333,95403
1334,95404
1335,95405
1336,95407
1337,95409
1338,95410
1339,95412
1340,95415
1341,95417
1342,95420
1343,95421
1344,95422
1345,95423
1346,95425
1347,95426
1348,95427
1349,95428
1350,95429
1351,95430
1352,95431
1353,95432
1354,95435
1355,95436
1356,95437
1357,95439
1358,95441
1359,95442
1360,95443
1361,95444
1362,95445
1363,95446
1364,95448
1365,95449
1366,95450
1367,95451
1368,95452
1369,95453
1370,95454
1371,95456
1372,95457
1373,95458
1374,95459
1375,95460
1376,95461
1377,95462
1378,95463
1379,95464
1380,95465
1381,95466
1382,95467
1383,95468
1384,95469
1385,95470
1386,95471
1387,95472
1388,95476
1389,95482
1390,95485
1391,95486
1392,95488
1393,95490
1394,95492
1395,95493
1396,95494
1397,95497
1398,95501
1399,95503
1400,95511
1401,95514
1402,95519
1403,95521
1404,95524
1405,95525
1406,95526
1407,95527
1408,95528
1409,95531
1410,95536
1411,95537
1412,95540
1413,95542
1414,95543
1415,95545
1416,95546
1417,95547
1418,95548
1419,95549
1420,95550
1421,95551
1422,95552
1423,95553
1424,95554
1425,95555
1426,95556
1427,95558
1428,95559
1429,95560
1430,95562
1431,95563
1432,95564
1433,95565
1434,95567
1435,95568
1436,95569
1437,95570
1438,95571
1439,95573
1440,95585
1441,95587
1442,95589
1443,95595
1444,95601
1445,95602
1446,95603
1447,95604
1448,95605
1449,95606
1450,95607
1451,95608
1452,95610
1453,95612
1454,95614
1455,95615
1456,95616
1457,95618
1458,95619
1459,95620
1460,95621
1461,95623
1462,95624
1463,95625
1464,95626
1465,95627
1466,95628
1467,95629
1468,95630
1469,95631
1470,95632
1471,95633
1472,95634
1473,95635
1474,95636
1475,95637
1476,95638
1477,95639
1478,95640
1479,95641
1480,95642
1481,95645
1482,95646
1483,95648
1484,95650
1485,95651
1486,95652
1487,95653
1488,95655
1489,95658
1490,95659
1491,95660
1492,95661
1493,95662
1494,95663
1495,95664
1496,95665
1497,95666
1498,95667
1499,95668
1500,95669
1501,95670
1502,95672
1503,95673
1504,95674
1505,95675
1506,95677
1507,95678
1508,95679
1509,95680
1510,95681
1511,95682
1512,95683
1513,95684
1514,95685
1515,95686
1516,95687
1517,95688
1518,95689
1519,95690
1520,95691
1521,95692
1522,95693
1523,95694
